日本語,英語,中国語,レアリティ
"アンビー・デマラ","Anby Demara","安比·德玛拉","S"
"ニコ・デマラ","Nicole Demara","妮可·德玛拉","A"
"ビリー・キッド","Billy Kid","比利·奇德","A"
"猫宮又奈","Nekomiya Mana","猫宫又奈","S"
"クレタ・ベロボーグ","Koleda Belobog","珂蕾妲·贝洛伯格","S"
"アントン・イワノフ","Anton Ivanov","安东·伊万诺夫","A"
"ベン・ビッグ","Ben Bigger","本·比格","A"
"グレース・ハワード","Grace Howard","格莉丝·霍华德","S"
"コリン・ウィックス","Corin Wickes","可琳·威克斯","A"
"フォン・ライカン","Von Lycaon","冯·莱卡恩","S"
"アレクサンドリナ・セバスチャン","Alexandrina Sebastiane","亚历山德丽娜·莎芭丝缇安","S"
"エレン・ジョー","Ellen Joe","艾莲·乔","A"
"星見雅","Hoshimi Miyabi","星见雅","S"
"浅羽悠真","Asaba Harumasa","浅羽悠真","A"
"青衣","Qingyi","青衣","A"
"月城柳","Yanagi Tsukumo","月城柳","A"
"ソルジャー11","Soldier 11","11号","A"
"シード","Seed","席德","S"
"トリガー","Trigger","扳机","A"
"オルペウス・マグヌッソン","Orphie Magnusson & Magus","奥菲丝","S"
"ジェーン・ドゥ","Jane Doe","简·杜","S"
"セス・ロウエル","Seth Lowell","赛斯·洛威尔","A"
"ルシアーナ・デ・モンテフィオ","Luciana de Montefio","露西亚娜·奥克希斯·提奥多·德·蒙特夫","A"
"パイパー・ウィール","Piper Wheel","派派·韦尔","A"
"キング・シーザー","Caesar King","凯撒·金","A"
"バーニス・ホワイト","Burnice White","柏妮思·怀特","S"
"ライト","Lighter","莱特","A"
"プルクラ・フェリーニ","Pulchra Fellini","波可娜·费雷尼","A"
"イヴリン・シェヴァリエ","Evelyn Chevalier","伊芙琳·舒瓦利耶","A"
"ビビアン・バンシー","Vivian Banshee","薇薇安·班希","S"
"ヒューゴ・ヴラド","Hugo Vlad","雨果·维拉德","A"
"イ・シュアン","Yao Yuzuha","仪玄","S"
"パン・イン・フー","Pan Yinhu","潘引壶","A"
"チーフーフ","Ju Fufu","橘福福","A"
"葉瞬光(しゅんこう)","Ye Shunguang","叶瞬光","S"
"浮波柚葉","Ukinami Yuzuha","浮波柚叶","S"
"アリス・タイムフィールド","Alice Thymefield","爱丽丝·泰姆菲尔德","S"
"リュシア・エロウェン","Lucia Elowen","卢西娅","S"
"狛野真斗","Komano Manato","狛野真斗","A"
"イドリー","Yidhari","伊德海莉","S"
"アストラ・ヤオ","Astra Yao","琉音","S"
"盤岳(ばんがく)","Banyue","般岳","S"
"ダイアリン","Dialyn","琉音","S"
"照(ざお)","Zhao","照","S"
"イーシェン","Yixuan","儀玄","S"

# 合計: 43キャラクター（S級: 18名、A級: 25名）
